"Name",0
"String","int"
"Daniel Adami",
"Anton Ahlin",
"Santtu Ahola",
"Patrick Almgren",
"Marcio Bacalhau",
"Chris Bancroft",
"Yana Basenko",
"Salomé Barbosa",
"Mauritz Bart",
"Paula Báguena",
"David Bell",
"Pablo Bey Cabrera",
"María Bohsali Gómez-Acebo",
"Brad Bolinder",
"Annabell Bori",
"Quinn Brander",
"Veronika Burger",
"Bao Cai",
"Javier Calvo",
"Paul Chambers",
"Dalei Chen",
"Liang Chen",
"Qing Chen",
"Xuhui Chen",
"Tiffany Chia",
"Chris Cho",
"Inyoung Choi",
"Jake Choi",
"Luna Choi",
"Rose Dang",
"Ramon Delacuesta",
"David Diaz",
"Jason Dou",
"Praveen Dubey",
"Chris Duong",
"Timothy Ebner",
"Maki Ehara",
"Anders Ehrenborg",
"James Ellis",
"Henrik Enqvist",
"Alberto Estirado",
"Sergii Fedorov",
"Guilherme Franco",
"Jon Franzas",
"Qiang Fu",
"Laura Gilliland",
"Romel Goncalves",
"Andrew Gordon",
"Niyazi Gunduz",
"Adrian Häggqvist",
"Eero Harmaala",
"Peter Hastings",
"Stefan Hauk",
"Yasin Hatiboglu",
"Drew Haycock",
"Valtteri Heikkilä",
"Noora Heikkinen",
"Timo Heinäpurola",
"Joona Heinikoski",
"Mikko Hokkanen",
"Matias Hyry",
"Chih-Han Hsu",
"Sewon Hong",
"Juha Huotari",
"Aapo Huovila",
"Tiina Hutri",
"Chimoon Hwang",
"Emilia Hwang",
"Jaakko Iisalo",
"Aki Immonen",
"Joakim Isaksson",
"Joanna Jakubowska",
"Kim Jensen",
"JinSheng Jiang",
"Tomi Joki-Korpela",
"Janne Juhola",
"Pauli Kaila",
"Robert Kamphuis",
"Bill Kang",
"Minyoung Kang",
"Petri Kärkäs",
"Frank Keienburg",
"Matti Kemppainen",
"DongHa Kim",
"Tae Rim Kim",
"WooHyun Kim",
"Anna Koivu-Choo",
"Emin Köklü",
"Alper Köroğlu",
"Tobiasz Konieczny",
"Toni Kontinen",
"Terje Koskinen",
"Kristian Korkeila",
"Pekka Kujansuu",
"Kari Kuvaja",
"Byeongmin Kwon",
"Maurice Kroes",
"Mikko Laakkio",
"Rauli Laatikainen",
"Manuel Langegger",
"Vy Le",
"Bojan Lecic",
"Christina Lee",
"Jimmy Lee",
"Mikko Lehtonen",
"Juha Leinonen",
"Ryan Lighton",
"Janne Lindholm",
"Agnes Liou",
"Chen Liu",
"Zhicheng Liu",
"Phillip Lockwood",
"Jonne Loikkanen",
"Duofen Ma",
"Frieda Ma",
"Damien Mabin",
"Leônidas Maciel",
"Nicolas Makela",
"Lauri Manninen",
"Adam Massey",
"Antti Mattila",
"Doug McCracken",
"Daniel Medeiros",
"Jani Mensonen",
"Yukiko Morishita",
"Anton Morozov",
"Lohen Navarro García",
"Sheila Ndungu",
"Linh Nguyen",
"Heini Nieminen",
"Sylvain Noblet",
"Jumpei Oki",
"Taneli Oksama",
"Fernanda Oliveira",
"Jeff Ostler",
"Pedro Palma",
"Sergey Palyanov",
"Kelvin Pan",
"Martín Pane Fernández-Longo",
"Andrew Park",
"Stephen Park",
"Janne Peltola",
"Wesley Pijpers",
"Douglas Portugal",
"Asko Puurula",
"Miika Pylkkö",
"Riku Rajaniemi",
"Brianne Read",
"Chengbin Ren",
"Rafa Rimola",
"Antti Ripatti",
"Elia Rönning",
"Pawel Rosolek",
"Rita Sargsian",
"Donghee Seo",
"Martin Schjøler",
"Jeffrey Shen",
"Keeshan Selvakumar",
"Mika Seppä",
"Jarno Seppänen",
"Matheus da Silva Oliviera",
"Mikko Sivulainen",
"Andrius Sliogeris",
"Sam Spilsbury",
"Timothy Smith",
"Shawn Su",
"Qianyue Sun",
"Tommi Suvinen",
"Nelly Sääksjärvi",
"Antti Takala",
"Touko Tahkokallio",
"Melina Tammisto",
"Erol Tekkanat",
"Olli Tervo",
"Sami Tikkanen",
"Ella-Roosa Tenhunen",
"Emily Tierney",
"Wilhelm Tigerstedt",
"Ricardo Tomé",
"Stijn Tops",
"Ali Tunc",
"Machiko Uehara",
"Okan Usta",
"Jouni Utriainen",
"Jerry Vahn",
"Antti Varila",
"Gonzalo Vázquez",
"Félix Vivier",
"Slava Volkov",
"Jaakko Väyrynen",
"Jean-Louis Voiseux",
"Stanka Vučetić",
"Kustaa Vuori",
"Toshizumi Waki",
"Ryan Wener",
"Julia Wlochowski",
"Julie Woo",
"Frank Yan",
"Hua Yin",
"Choong Yoon",
"Chaohua Yuan",
"Junheng Zang",
"Kris Zang",
"Ao Zhang",
"Hanzhi Zhang",
"Oscar Zhang",
"Fei Zhong",
"Jean Zoch",
"Alex Zotikov",
,
,
,
"In memory of Antti Summala and Billy P. Kametz",
,
,
"©2026 Viacom International Inc. All Rights Reserved. SpongeBob SquarePants created by Stephen Hillenburg.",
,
"Slinky Dog © Just Play, LLC",
,
"Disney/Pixar elements © 2026 Disney/Pixar. All Rights Reserved.",
